listing_id,sme_id,country,city,waste_category,waste_item,volume_kg,contamination_risk,ai_routing_score,recommended_recycler_id,match_status,total_co2_offset,status,pH,created_at,waste_type_id,subcategory_id,toxicity_level,recommended_handling,storage_risk_level,documentation_status,regulatory_category,distance_km,fuel_used_liters,actual_weight_received,emissions_avoided_kg,estimated_distance,transport_emissions,recycling_savings,processing_efficiency,net_climate_impact,climate_impact_level,predicted_climate_impact
21,11,Nigeria,Lagos,Solid,PET Bottles,163.02,High,,53,Unmatched,100.91,Open,7.46,2026-01-18 13:31:48,2,5,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,,,,,,,,,10.11,Medium,Medium
22,11,Nigeria,Lagos,Liquid,Greywater,340.91,High,,8,Matched,88.87,In Progress,6.74,2026-03-13 01:56:24,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,,,,,,,,,-9.4,Low,Medium
22,11,Nigeria,Lagos,Liquid,Greywater,340.91,High,,8,Matched,88.87,In Progress,6.74,2026-03-13 01:56:24,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,,,,,,,,,10.11,Medium,Medium
23,12,Nigeria,Abuja,Organic,Market Waste,309.84,High,,59,Unmatched,95.43,Open,5.75,2025-11-08 14:16:59,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,88.55,12.04,1.4,34.36,88.55,32.2672,34.36,0.0045184611412341855,-37.14,Low,Medium
23,12,Nigeria,Abuja,Organic,Market Waste,309.84,High,,59,Unmatched,95.43,Open,5.75,2025-11-08 14:16:59,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,88.55,12.04,1.4,34.36,88.55,32.2672,34.36,0.0045184611412341855,37.47,Medium,Medium
24,12,Nigeria,Abuja,Liquid,Used Cooking Oil,476.42,Low,,16,Matched,74.7,Open,6.36,2025-12-06 00:15:13,3,9,Low,Store safely and avoid uncontrolled disposal.,Normal,Completed,Regulated,20.36,12.53,32.09,124.31,20.36,33.5804,124.31,0.06735653415053945,-37.14,Low,Medium
24,12,Nigeria,Abuja,Liquid,Used Cooking Oil,476.42,Low,,16,Matched,74.7,Open,6.36,2025-12-06 00:15:13,3,9,Low,Store safely and avoid uncontrolled disposal.,Normal,Completed,Regulated,20.36,12.53,32.09,124.31,20.36,33.5804,124.31,0.06735653415053945,37.47,Medium,Medium
25,13,Nigeria,Abuja,Liquid,Industrial Effluent,240.31,Medium,,48,Unmatched,60.17,Open,4.31,2025-10-20 11:32:19,3,11,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated,,,,,,,,,-14.31,Low,Medium
25,13,Nigeria,Abuja,Liquid,Industrial Effluent,240.31,Medium,,48,Unmatched,60.17,Open,4.31,2025-10-20 11:32:19,3,11,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated,,,,,,,,,20.74,Medium,Medium
26,13,Nigeria,Abuja,Others,Construction debris,321.04,High,,11,Matched,132.15,Closed,6.97,2026-01-02 10:45:30,4,15,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,,,,,,,,,-14.31,Low,Medium
26,13,Nigeria,Abuja,Others,Construction debris,321.04,High,,11,Matched,132.15,Closed,6.97,2026-01-02 10:45:30,4,15,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,,,,,,,,,20.74,Medium,Medium
27,14,Nigeria,Ibadan,Liquid,Septage/Sewage,18.7,Medium,,27,Matched,5.55,Open,10.61,2025-12-15 06:06:48,3,12,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,,,,,,,,,-0.82,Low,Low
27,14,Nigeria,Ibadan,Liquid,Septage/Sewage,18.7,Medium,,27,Matched,5.55,Open,10.61,2025-12-15 06:06:48,3,12,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,,,,,,,,,-30.82,Low,Low
28,14,Nigeria,Ibadan,Solid,LDPE 'Sachet' Water Bags,187.8,Low,,19,Unmatched,119.55,Closed,7.41,2026-02-01 10:28:09,2,6,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General,,,,,,,,,-0.82,Low,Medium
28,14,Nigeria,Ibadan,Solid,LDPE 'Sachet' Water Bags,187.8,Low,,19,Unmatched,119.55,Closed,7.41,2026-02-01 10:28:09,2,6,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General,,,,,,,,,-30.82,Low,Medium
29,15,Nigeria,Kano,Organic,Agricultural Residue,390.7,Medium,,19,Matched,349.94,Open,6.33,2026-01-04 19:09:36,1,2,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General,,,,,,,,,5.67,Low,Low
29,15,Nigeria,Kano,Organic,Agricultural Residue,390.7,Medium,,19,Matched,349.94,Open,6.33,2026-01-04 19:09:36,1,2,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General,,,,,,,,,-2.43,Low,Low
30,15,Nigeria,Kano,Solid,LDPE 'Sachet' Water Bags,25.02,Low,,28,Unmatched,23.77,Closed,6.72,2026-02-10 04:10:09,2,6,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General,64.38,3.87,,4.27,64.38,10.3716,4.27,,5.67,Low,Low
30,15,Nigeria,Kano,Solid,LDPE 'Sachet' Water Bags,25.02,Low,,28,Unmatched,23.77,Closed,6.72,2026-02-10 04:10:09,2,6,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General,64.38,3.87,,4.27,64.38,10.3716,4.27,,-2.43,Low,Low
31,16,Kenya,Kisumu,Others,Miscellaneous,429.81,Medium,,17,Unmatched,152.97,In Progress,7.14,2026-03-13 04:05:29,4,16,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated,93.74,10.28,36.94,83.25,93.74,27.5504,83.25,0.0859449524208371,6.63,Low,Low
31,16,Kenya,Kisumu,Others,Miscellaneous,429.81,Medium,,17,Unmatched,152.97,In Progress,7.14,2026-03-13 04:05:29,4,16,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated,93.74,10.28,36.94,83.25,93.74,27.5504,83.25,0.0859449524208371,-18.86,Low,Low
32,16,Kenya,Kisumu,Organic,Agricultural Residue,321.03,High,,19,Matched,76.15,Open,6.5,2025-10-13 02:36:16,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,,,,,,,,,6.63,Low,Low
32,16,Kenya,Kisumu,Organic,Agricultural Residue,321.03,High,,19,Matched,76.15,Open,6.5,2025-10-13 02:36:16,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,,,,,,,,,-18.86,Low,Low
33,17,Nigeria,Kano,Solid,LDPE 'Sachet' Water Bags,259.56,Medium,,51,Matched,109.9,Closed,6.75,2025-10-25 05:05:09,2,6,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Not Started,General,27.98,5.92,,188.31,27.98,15.8656,188.31,,136.76,High,High
33,17,Nigeria,Kano,Solid,LDPE 'Sachet' Water Bags,259.56,Medium,,51,Matched,109.9,Closed,6.75,2025-10-25 05:05:09,2,6,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Not Started,General,27.98,5.92,,188.31,27.98,15.8656,188.31,,-25.78,Low,High
34,17,Nigeria,Kano,Solid,PET Bottles,229.01,High,,56,Unmatched,204.82,In Progress,7.21,2025-10-22 15:19:51,2,5,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,,,,,,,,,136.76,High,High
34,17,Nigeria,Kano,Solid,PET Bottles,229.01,High,,56,Unmatched,204.82,In Progress,7.21,2025-10-22 15:19:51,2,5,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,,,,,,,,,-25.78,Low,High
35,18,Kenya,Nakuru,Organic,Agricultural Residue,169.01,High,,24,Unmatched,46.72,Open,6.18,2026-02-25 03:12:05,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,,,,,,,,,-27.97,Low,Low
35,18,Kenya,Nakuru,Organic,Agricultural Residue,169.01,High,,24,Unmatched,46.72,Open,6.18,2026-02-25 03:12:05,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,,,,,,,,,3.78,Low,Low
36,18,Kenya,Nakuru,Organic,Livestock Manure,387.28,Medium,,4,Matched,194.05,In Progress,5.91,2025-11-29 15:39:11,1,4,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,General,30.91,12.61,13.69,84.3,30.91,33.7948,84.3,0.035349101425325345,-27.97,Low,Low
36,18,Kenya,Nakuru,Organic,Livestock Manure,387.28,Medium,,4,Matched,194.05,In Progress,5.91,2025-11-29 15:39:11,1,4,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,General,30.91,12.61,13.69,84.3,30.91,33.7948,84.3,0.035349101425325345,3.78,Low,Low
37,19,Nigeria,Port Harcourt,Others,Construction debris,332.6,Medium,,34,Unmatched,45.66,Open,7.02,2025-11-11 17:28:28,4,15,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,Regulated,,,,,,,,,-32.4,Low,Medium
37,19,Nigeria,Port Harcourt,Others,Construction debris,332.6,Medium,,34,Unmatched,45.66,Open,7.02,2025-11-11 17:28:28,4,15,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,Regulated,,,,,,,,,14.91,Medium,Medium
38,19,Nigeria,Port Harcourt,Organic,Agricultural Residue,27.07,Low,,46,Unmatched,9.36,Closed,6.42,2026-01-02 01:41:07,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General,68.63,8.98,2.55,18.89,68.63,24.0664,18.89,0.09420022164758034,-32.4,Low,Medium
38,19,Nigeria,Port Harcourt,Organic,Agricultural Residue,27.07,Low,,46,Unmatched,9.36,Closed,6.42,2026-01-02 01:41:07,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General,68.63,8.98,2.55,18.89,68.63,24.0664,18.89,0.09420022164758034,14.91,Medium,Medium
39,20,Kenya,Nakuru,Organic,Agricultural Residue,257.69,Low,,30,Unmatched,194.04,Closed,5.6,2025-12-20 18:46:22,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General,83.52,10.74,22.34,85.34,83.52,28.7832,85.34,0.08669331367146571,27.55,Medium,Medium
39,20,Kenya,Nakuru,Organic,Agricultural Residue,257.69,Low,,30,Unmatched,194.04,Closed,5.6,2025-12-20 18:46:22,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General,83.52,10.74,22.34,85.34,83.52,28.7832,85.34,0.08669331367146571,-32.4,Low,Medium
40,20,Kenya,Nakuru,Liquid,Greywater,316.67,High,,51,Unmatched,62.68,Open,10.84,2025-09-24 17:17:52,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,,,,,,,,,27.55,Medium,Medium
40,20,Kenya,Nakuru,Liquid,Greywater,316.67,High,,51,Unmatched,62.68,Open,10.84,2025-09-24 17:17:52,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,,,,,,,,,-32.4,Low,Medium
41,21,Kenya,Nairobi,Organic,Market Waste,242.65,High,,44,Matched,210.03,Closed,6.76,2026-02-23 07:00:02,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,6.98,11.27,30.52,96.27,6.98,30.2036,96.27,0.12577786935915927,53.78,High,High
41,21,Kenya,Nairobi,Organic,Market Waste,242.65,High,,44,Matched,210.03,Closed,6.76,2026-02-23 07:00:02,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,6.98,11.27,30.52,96.27,6.98,30.2036,96.27,0.12577786935915927,-2.65,Low,High
42,21,Kenya,Nairobi,Organic,Market Waste,128.26,Low,,20,Unmatched,114.58,Open,6.29,2026-02-23 23:04:28,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General,,,,,,,,,53.78,High,High
42,21,Kenya,Nairobi,Organic,Market Waste,128.26,Low,,20,Unmatched,114.58,Open,6.29,2026-02-23 23:04:28,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General,,,,,,,,,-2.65,Low,High
43,22,Kenya,Eldoret,Organic,Agricultural Residue,215.65,High,,27,Unmatched,130.74,In Progress,6.33,2025-11-14 03:52:02,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous,,,,,,,,,-7.27,Low,Low
43,22,Kenya,Eldoret,Organic,Agricultural Residue,215.65,High,,27,Unmatched,130.74,In Progress,6.33,2025-11-14 03:52:02,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous,,,,,,,,,-38.88,Low,Low
44,22,Kenya,Eldoret,Solid,LDPE 'Sachet' Water Bags,267.42,High,,14,Unmatched,205.05,Closed,7.29,2026-02-25 13:55:38,2,6,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous,,,,,,,,,-7.27,Low,Low
44,22,Kenya,Eldoret,Solid,LDPE 'Sachet' Water Bags,267.42,High,,14,Unmatched,205.05,Closed,7.29,2026-02-25 13:55:38,2,6,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous,,,,,,,,,-38.88,Low,Low
45,23,Kenya,Nakuru,Liquid,Used Cooking Oil,48.43,High,,50,Unmatched,13.46,In Progress,4.25,2026-01-08 03:44:47,3,9,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous,,,,,,,,,1.84,Low,Low
45,23,Kenya,Nakuru,Liquid,Used Cooking Oil,48.43,High,,50,Unmatched,13.46,In Progress,4.25,2026-01-08 03:44:47,3,9,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous,,,,,,,,,-49.2,Low,Low
46,23,Kenya,Nakuru,Others,Construction debris,297.03,Low,,48,Unmatched,114.34,Open,7.2,2025-11-14 12:49:19,4,15,Low,Store safely and avoid uncontrolled disposal.,Normal,In Progress,Regulated,,,,,,,,,1.84,Low,Low
46,23,Kenya,Nakuru,Others,Construction debris,297.03,Low,,48,Unmatched,114.34,Open,7.2,2025-11-14 12:49:19,4,15,Low,Store safely and avoid uncontrolled disposal.,Normal,In Progress,Regulated,,,,,,,,,-49.2,Low,Low
47,24,Kenya,Mombasa,Organic,Food Scraps,476.9,High,,30,Matched,115.85,Open,5.66,2025-12-21 11:09:12,1,1,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous,,,,,,,,,-8.59,Low,Low
47,24,Kenya,Mombasa,Organic,Food Scraps,476.9,High,,30,Matched,115.85,Open,5.66,2025-12-21 11:09:12,1,1,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous,,,,,,,,,-21.59,Low,Low
48,24,Kenya,Mombasa,Organic,Livestock Manure,289.76,High,,25,Unmatched,157.55,Open,5.28,2026-01-03 02:55:01,1,4,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,,,,,,,,,-8.59,Low,Low
